Metric,base,c_ind_ddgroup,cox_tree,ddgroup,no_exp_ddgroup,pl_ddgroup,prim,random,survival_tree
Test EPE,0.544 (0.018),0.593 (0.064),0.496 (0.083),0.427 (0.039),0.456 (0.086),0.541 (0.085),0.531 (0.016),0.593 (0.128),0.581 (0.099)
Test Rej@1%,0.004 (0.004),0.025 (0.014),0.032 (0.015),0.039 (0.039),0.004 (0.004),0.018 (0.014),0.000 (0.000),0.025 (0.018),0.018 (0.008)
Test Rej@5%,0.032 (0.011),0.064 (0.017),0.079 (0.038),0.064 (0.050),0.021 (0.008),0.046 (0.024),0.021 (0.008),0.064 (0.032),0.057 (0.027)
Test Rej@10%,0.071 (0.013),0.100 (0.022),0.125 (0.046),0.075 (0.053),0.050 (0.021),0.082 (0.030),0.061 (0.014),0.107 (0.050),0.079 (0.026)
Test C-Index,0.714 (0.014),0.683 (0.033),0.740 (0.042),0.757 (0.028),0.746 (0.045),0.725 (0.051),0.726 (0.014),0.725 (0.055),0.706 (0.045)
Test PLL,-90.556 (4.373),-50.648 (15.168),-9.030 (1.804),-11.303 (2.717),-5.701 (1.057),-66.528 (13.907),-81.669 (5.158),-9.430 (1.832),-24.810 (11.047)
Test Size,1.000 (0.000),0.554 (0.149),0.166 (0.022),0.198 (0.028),0.144 (0.007),0.733 (0.136),0.869 (0.038),0.169 (0.028),0.316 (0.106)
Test Precision,,,,,,,,,
Test Recall,,,,,,,,,
Test F1 Score,,,,,,,,,
Test IoU,,,,,,,,,
